host,port,seed22,seed80,seed443,label_open
192.168.1.101,22,1,1,0,1
192.168.1.101,25,1,1,0,0
192.168.1.101,53,1,1,0,1
192.168.1.101,80,1,1,0,1
192.168.1.101,110,1,1,0,0
192.168.1.101,143,1,1,0,0
192.168.1.101,443,1,1,0,0
192.168.1.101,445,1,1,0,0
192.168.1.101,587,1,1,0,0
192.168.1.101,993,1,1,0,0
192.168.1.101,995,1,1,0,0
192.168.1.101,3306,1,1,0,1
192.168.1.101,3389,1,1,0,0
192.168.1.102,22,0,0,0,0
192.168.1.102,25,0,0,0,0
192.168.1.102,53,0,0,0,0
192.168.1.102,80,0,0,0,0
192.168.1.102,110,0,0,0,0
192.168.1.102,143,0,0,0,0
192.168.1.102,443,0,0,0,0
192.168.1.102,445,0,0,0,1
192.168.1.102,587,0,0,0,0
192.168.1.102,993,0,0,0,0
192.168.1.102,995,0,0,0,0
192.168.1.102,3306,0,0,0,0
192.168.1.102,3389,0,0,0,1
192.168.1.103,22,1,0,0,1
192.168.1.103,25,1,0,0,1
192.168.1.103,53,1,0,0,0
192.168.1.103,80,1,0,0,0
192.168.1.103,110,1,0,0,1
192.168.1.103,143,1,0,0,1
192.168.1.103,443,1,0,0,0
192.168.1.103,445,1,0,0,0
192.168.1.103,587,1,0,0,0
192.168.1.103,993,1,0,0,1
192.168.1.103,995,1,0,0,1
192.168.1.103,3306,1,0,0,0
192.168.1.103,3389,1,0,0,0
